q_id,q_text,correct_a_text
q_128,If a paragraph has 11 points of space below it and the paragraph underneath has additional 12 points of space above it how much space is there between the two paragraphs?,Since there are 11 points of space below the 1st paragraph and there are 12 points of space above the 2nd paragraph there will be a total of 23 points of space between the two paragraphs.
q_134,If a paragraph has 11 points of space below it and the paragraph underneath has additional 14 points of space above it how much space is there between the two paragraphs?,Since there are 11 points of space below the 1st paragraph and there are 14 points of space above the 2nd paragraph there will be a total of 25 points of space between the two paragraphs.
q_84,If a paragraph has 11 points of space below it and the paragraph underneath has additional 20 points of space above it how much space is there between the two paragraphs?,Since there are 11 points of space below the 1st paragraph and there are 20 points of space above the 2nd paragraph there will be a total of 31 points of space between the two paragraphs.
q_154,If a paragraph has 11 points of space below it and the paragraph underneath has additional 7 points of space above it how much space is there between the two paragraphs?,Since there are 11 points of space below the 1st paragraph and there are 7 points of space above the 2nd paragraph there will be a total of 18 points of space between the two paragraphs.
q_74,If a paragraph has 11 points of space below it and the paragraph underneath has additional 9 points of space above it how much space is there between the two paragraphs?,Since there are 11 points of space below the 1st paragraph and there are 9 points of space above the 2nd paragraph there will be a total of 20 points of space between the two paragraphs.
q_139,If a paragraph has 12 points of space below it and the paragraph underneath has additional 13 points of space above it how much space is there between the two paragraphs?,Since there are 12 points of space below the 1st paragraph and there are 13 points of space above the 2nd paragraph there will be a total of 25 points of space between the two paragraphs.
q_121,If a paragraph has 12 points of space below it and the paragraph underneath has additional 18 points of space above it how much space is there between the two paragraphs?,Since there are 12 points of space below the 1st paragraph and there are 18 points of space above the 2nd paragraph there will be a total of 30 points of space between the two paragraphs.
q_137,If a paragraph has 12 points of space below it and the paragraph underneath has additional 7 points of space above it how much space is there between the two paragraphs?,Since there are 12 points of space below the 1st paragraph and there are 7 points of space above the 2nd paragraph there will be a total of 19 points of space between the two paragraphs.
q_148,If a paragraph has 13 points of space below it and the paragraph underneath has additional 13 points of space above it how much space is there between the two paragraphs?,Since there are 13 points of space below the 1st paragraph and there are 13 points of space above the 2nd paragraph there will be a total of 26 points of space between the two paragraphs.
q_113,If a paragraph has 13 points of space below it and the paragraph underneath has additional 15 points of space above it how much space is there between the two paragraphs?,Since there are 13 points of space below the 1st paragraph and there are 15 points of space above the 2nd paragraph there will be a total of 28 points of space between the two paragraphs.
q_86,If a paragraph has 13 points of space below it and the paragraph underneath has additional 16 points of space above it how much space is there between the two paragraphs?,Since there are 13 points of space below the 1st paragraph and there are 16 points of space above the 2nd paragraph there will be a total of 29 points of space between the two paragraphs.
q_90,If a paragraph has 13 points of space below it and the paragraph underneath has additional 6 points of space above it how much space is there between the two paragraphs?,Since there are 13 points of space below the 1st paragraph and there are 6 points of space above the 2nd paragraph there will be a total of 19 points of space between the two paragraphs.
q_118,If a paragraph has 13 points of space below it and the paragraph underneath has additional 7 points of space above it how much space is there between the two paragraphs?,Since there are 13 points of space below the 1st paragraph and there are 7 points of space above the 2nd paragraph there will be a total of 20 points of space between the two paragraphs.
q_149,If a paragraph has 14 points of space below it and the paragraph underneath has additional 10 points of space above it how much space is there between the two paragraphs?,Since there are 14 points of space below the 1st paragraph and there are 10 points of space above the 2nd paragraph there will be a total of 24 points of space between the two paragraphs.
q_125,If a paragraph has 14 points of space below it and the paragraph underneath has additional 14 points of space above it how much space is there between the two paragraphs?,Since there are 14 points of space below the 1st paragraph and there are 14 points of space above the 2nd paragraph there will be a total of 28 points of space between the two paragraphs.
q_145,If a paragraph has 14 points of space below it and the paragraph underneath has additional 16 points of space above it how much space is there between the two paragraphs?,Since there are 14 points of space below the 1st paragraph and there are 16 points of space above the 2nd paragraph there will be a total of 30 points of space between the two paragraphs.
q_132,If a paragraph has 14 points of space below it and the paragraph underneath has additional 17 points of space above it how much space is there between the two paragraphs?,Since there are 14 points of space below the 1st paragraph and there are 17 points of space above the 2nd paragraph there will be a total of 31 points of space between the two paragraphs.
q_133,If a paragraph has 14 points of space below it and the paragraph underneath has additional 18 points of space above it how much space is there between the two paragraphs?,Since there are 14 points of space below the 1st paragraph and there are 18 points of space above the 2nd paragraph there will be a total of 32 points of space between the two paragraphs.
q_116,If a paragraph has 14 points of space below it and the paragraph underneath has additional 9 points of space above it how much space is there between the two paragraphs?,Since there are 14 points of space below the 1st paragraph and there are 9 points of space above the 2nd paragraph there will be a total of 23 points of space between the two paragraphs.
q_95,If a paragraph has 15 points of space below it and the paragraph underneath has additional 12 points of space above it how much space is there between the two paragraphs?,Since there are 15 points of space below the 1st paragraph and there are 12 points of space above the 2nd paragraph there will be a total of 27 points of space between the two paragraphs.
q_106,If a paragraph has 15 points of space below it and the paragraph underneath has additional 18 points of space above it how much space is there between the two paragraphs?,Since there are 15 points of space below the 1st paragraph and there are 18 points of space above the 2nd paragraph there will be a total of 33 points of space between the two paragraphs.
q_152,If a paragraph has 15 points of space below it and the paragraph underneath has additional 7 points of space above it how much space is there between the two paragraphs?,Since there are 15 points of space below the 1st paragraph and there are 7 points of space above the 2nd paragraph there will be a total of 22 points of space between the two paragraphs.
q_103,If a paragraph has 15 points of space below it and the paragraph underneath has additional 8 points of space above it how much space is there between the two paragraphs?,Since there are 15 points of space below the 1st paragraph and there are 8 points of space above the 2nd paragraph there will be a total of 23 points of space between the two paragraphs.
q_156,If a paragraph has 15 points of space below it and the paragraph underneath has additional 9 points of space above it how much space is there between the two paragraphs?,Since there are 15 points of space below the 1st paragraph and there are 9 points of space above the 2nd paragraph there will be a total of 24 points of space between the two paragraphs.
q_89,If a paragraph has 16 points of space below it and the paragraph underneath has additional 10 points of space above it how much space is there between the two paragraphs?,Since there are 16 points of space below the 1st paragraph and there are 10 points of space above the 2nd paragraph there will be a total of 26 points of space between the two paragraphs.
q_120,If a paragraph has 16 points of space below it and the paragraph underneath has additional 11 points of space above it how much space is there between the two paragraphs?,Since there are 16 points of space below the 1st paragraph and there are 11 points of space above the 2nd paragraph there will be a total of 27 points of space between the two paragraphs.
q_87,If a paragraph has 16 points of space below it and the paragraph underneath has additional 15 points of space above it how much space is there between the two paragraphs?,Since there are 16 points of space below the 1st paragraph and there are 15 points of space above the 2nd paragraph there will be a total of 31 points of space between the two paragraphs.
q_82,If a paragraph has 16 points of space below it and the paragraph underneath has additional 18 points of space above it how much space is there between the two paragraphs?,Since there are 16 points of space below the 1st paragraph and there are 18 points of space above the 2nd paragraph there will be a total of 34 points of space between the two paragraphs.
q_110,If a paragraph has 16 points of space below it and the paragraph underneath has additional 19 points of space above it how much space is there between the two paragraphs?,Since there are 16 points of space below the 1st paragraph and there are 19 points of space above the 2nd paragraph there will be a total of 35 points of space between the two paragraphs.
q_102,If a paragraph has 16 points of space below it and the paragraph underneath has additional 6 points of space above it how much space is there between the two paragraphs?,Since there are 16 points of space below the 1st paragraph and there are 6 points of space above the 2nd paragraph there will be a total of 22 points of space between the two paragraphs.
q_153,If a paragraph has 16 points of space below it and the paragraph underneath has additional 8 points of space above it how much space is there between the two paragraphs?,Since there are 16 points of space below the 1st paragraph and there are 8 points of space above the 2nd paragraph there will be a total of 24 points of space between the two paragraphs.
q_138,If a paragraph has 16 points of space below it and the paragraph underneath has additional 9 points of space above it how much space is there between the two paragraphs?,Since there are 16 points of space below the 1st paragraph and there are 9 points of space above the 2nd paragraph there will be a total of 25 points of space between the two paragraphs.
q_142,If a paragraph has 17 points of space below it and the paragraph underneath has additional 11 points of space above it how much space is there between the two paragraphs?,Since there are 17 points of space below the 1st paragraph and there are 11 points of space above the 2nd paragraph there will be a total of 28 points of space between the two paragraphs.
q_122,If a paragraph has 17 points of space below it and the paragraph underneath has additional 16 points of space above it how much space is there between the two paragraphs?,Since there are 17 points of space below the 1st paragraph and there are 16 points of space above the 2nd paragraph there will be a total of 33 points of space between the two paragraphs.
q_83,If a paragraph has 17 points of space below it and the paragraph underneath has additional 17 points of space above it how much space is there between the two paragraphs?,Since there are 17 points of space below the 1st paragraph and there are 17 points of space above the 2nd paragraph there will be a total of 34 points of space between the two paragraphs.
q_73,If a paragraph has 17 points of space below it and the paragraph underneath has additional 18 points of space above it how much space is there between the two paragraphs?,Since there are 17 points of space below the 1st paragraph and there are 18 points of space above the 2nd paragraph there will be a total of 35 points of space between the two paragraphs.
q_104,If a paragraph has 17 points of space below it and the paragraph underneath has additional 8 points of space above it how much space is there between the two paragraphs?,Since there are 17 points of space below the 1st paragraph and there are 8 points of space above the 2nd paragraph there will be a total of 25 points of space between the two paragraphs.
q_155,If a paragraph has 18 points of space below it and the paragraph underneath has additional 10 points of space above it how much space is there between the two paragraphs?,Since there are 18 points of space below the 1st paragraph and there are 10 points of space above the 2nd paragraph there will be a total of 28 points of space between the two paragraphs.
q_129,If a paragraph has 18 points of space below it and the paragraph underneath has additional 20 points of space above it how much space is there between the two paragraphs?,Since there are 18 points of space below the 1st paragraph and there are 20 points of space above the 2nd paragraph there will be a total of 38 points of space between the two paragraphs.
q_150,If a paragraph has 19 points of space below it and the paragraph underneath has additional 11 points of space above it how much space is there between the two paragraphs?,Since there are 19 points of space below the 1st paragraph and there are 11 points of space above the 2nd paragraph there will be a total of 30 points of space between the two paragraphs.
q_98,If a paragraph has 19 points of space below it and the paragraph underneath has additional 14 points of space above it how much space is there between the two paragraphs?,Since there are 19 points of space below the 1st paragraph and there are 14 points of space above the 2nd paragraph there will be a total of 33 points of space between the two paragraphs.
q_117,If a paragraph has 19 points of space below it and the paragraph underneath has additional 16 points of space above it how much space is there between the two paragraphs?,Since there are 19 points of space below the 1st paragraph and there are 16 points of space above the 2nd paragraph there will be a total of 35 points of space between the two paragraphs.
q_127,If a paragraph has 19 points of space below it and the paragraph underneath has additional 19 points of space above it how much space is there between the two paragraphs?,Since there are 19 points of space below the 1st paragraph and there are 19 points of space above the 2nd paragraph there will be a total of 38 points of space between the two paragraphs.
q_111,If a paragraph has 19 points of space below it and the paragraph underneath has additional 6 points of space above it how much space is there between the two paragraphs?,Since there are 19 points of space below the 1st paragraph and there are 6 points of space above the 2nd paragraph there will be a total of 25 points of space between the two paragraphs.
q_99,If a paragraph has 19 points of space below it and the paragraph underneath has additional 7 points of space above it how much space is there between the two paragraphs?,Since there are 19 points of space below the 1st paragraph and there are 7 points of space above the 2nd paragraph there will be a total of 26 points of space between the two paragraphs.
q_151,If a paragraph has 19 points of space below it and the paragraph underneath has additional 9 points of space above it how much space is there between the two paragraphs?,Since there are 19 points of space below the 1st paragraph and there are 9 points of space above the 2nd paragraph there will be a total of 28 points of space between the two paragraphs.
q_143,If a paragraph has 20 points of space below it and the paragraph underneath has additional 10 points of space above it how much space is there between the two paragraphs?,Since there are 20 points of space below the 1st paragraph and there are 10 points of space above the 2nd paragraph there will be a total of 30 points of space between the two paragraphs.
q_147,If a paragraph has 20 points of space below it and the paragraph underneath has additional 11 points of space above it how much space is there between the two paragraphs?,Since there are 20 points of space below the 1st paragraph and there are 11 points of space above the 2nd paragraph there will be a total of 31 points of space between the two paragraphs.
q_136,If a paragraph has 20 points of space below it and the paragraph underneath has additional 13 points of space above it how much space is there between the two paragraphs?,Since there are 20 points of space below the 1st paragraph and there are 13 points of space above the 2nd paragraph there will be a total of 33 points of space between the two paragraphs.
q_79,If a paragraph has 20 points of space below it and the paragraph underneath has additional 17 points of space above it how much space is there between the two paragraphs?,Since there are 20 points of space below the 1st paragraph and there are 17 points of space above the 2nd paragraph there will be a total of 37 points of space between the two paragraphs.
q_93,If a paragraph has 20 points of space below it and the paragraph underneath has additional 19 points of space above it how much space is there between the two paragraphs?,Since there are 20 points of space below the 1st paragraph and there are 19 points of space above the 2nd paragraph there will be a total of 39 points of space between the two paragraphs.
q_140,If a paragraph has 20 points of space below it and the paragraph underneath has additional 7 points of space above it how much space is there between the two paragraphs?,Since there are 20 points of space below the 1st paragraph and there are 7 points of space above the 2nd paragraph there will be a total of 27 points of space between the two paragraphs.
q_107,If a paragraph has 6 points of space below it and the paragraph underneath has additional 12 points of space above it how much space is there between the two paragraphs?,Since there are 6 points of space below the 1st paragraph and there are 12 points of space above the 2nd paragraph there will be a total of 18 points of space between the two paragraphs.
q_96,If a paragraph has 6 points of space below it and the paragraph underneath has additional 14 points of space above it how much space is there between the two paragraphs?,Since there are 6 points of space below the 1st paragraph and there are 14 points of space above the 2nd paragraph there will be a total of 20 points of space between the two paragraphs.
q_141,If a paragraph has 6 points of space below it and the paragraph underneath has additional 19 points of space above it how much space is there between the two paragraphs?,Since there are 6 points of space below the 1st paragraph and there are 19 points of space above the 2nd paragraph there will be a total of 25 points of space between the two paragraphs.
q_126,If a paragraph has 6 points of space below it and the paragraph underneath has additional 8 points of space above it how much space is there between the two paragraphs?,Since there are 6 points of space below the 1st paragraph and there are 8 points of space above the 2nd paragraph there will be a total of 14 points of space between the two paragraphs.
q_109,If a paragraph has 7 points of space below it and the paragraph underneath has additional 10 points of space above it how much space is there between the two paragraphs?,Since there are 7 points of space below the 1st paragraph and there are 10 points of space above the 2nd paragraph there will be a total of 17 points of space between the two paragraphs.
q_115,If a paragraph has 7 points of space below it and the paragraph underneath has additional 11 points of space above it how much space is there between the two paragraphs?,Since there are 7 points of space below the 1st paragraph and there are 11 points of space above the 2nd paragraph there will be a total of 18 points of space between the two paragraphs.
q_131,If a paragraph has 7 points of space below it and the paragraph underneath has additional 13 points of space above it how much space is there between the two paragraphs?,Since there are 7 points of space below the 1st paragraph and there are 13 points of space above the 2nd paragraph there will be a total of 20 points of space between the two paragraphs.
q_144,If a paragraph has 7 points of space below it and the paragraph underneath has additional 15 points of space above it how much space is there between the two paragraphs?,Since there are 7 points of space below the 1st paragraph and there are 15 points of space above the 2nd paragraph there will be a total of 22 points of space between the two paragraphs.
q_112,If a paragraph has 7 points of space below it and the paragraph underneath has additional 18 points of space above it how much space is there between the two paragraphs?,Since there are 7 points of space below the 1st paragraph and there are 18 points of space above the 2nd paragraph there will be a total of 25 points of space between the two paragraphs.
q_130,If a paragraph has 7 points of space below it and the paragraph underneath has additional 8 points of space above it how much space is there between the two paragraphs?,Since there are 7 points of space below the 1st paragraph and there are 8 points of space above the 2nd paragraph there will be a total of 15 points of space between the two paragraphs.
q_108,If a paragraph has 8 points of space below it and the paragraph underneath has additional 16 points of space above it how much space is there between the two paragraphs?,Since there are 8 points of space below the 1st paragraph and there are 16 points of space above the 2nd paragraph there will be a total of 24 points of space between the two paragraphs.
q_68,If a paragraph has 8 points of space below it and the paragraph underneath has additional 17 points of space above it how much space is there between the two paragraphs?,Since there are 8 points of space below the 1st paragraph and there are 17 points of space above the 2nd paragraph there will be a total of 25 points of space between the two paragraphs.
q_105,If a paragraph has 8 points of space below it and the paragraph underneath has additional 20 points of space above it how much space is there between the two paragraphs?,Since there are 8 points of space below the 1st paragraph and there are 20 points of space above the 2nd paragraph there will be a total of 28 points of space between the two paragraphs.
q_124,If a paragraph has 8 points of space below it and the paragraph underneath has additional 7 points of space above it how much space is there between the two paragraphs?,Since there are 8 points of space below the 1st paragraph and there are 7 points of space above the 2nd paragraph there will be a total of 15 points of space between the two paragraphs.
q_114,If a paragraph has 8 points of space below it and the paragraph underneath has additional 8 points of space above it how much space is there between the two paragraphs?,Since there are 8 points of space below the 1st paragraph and there are 8 points of space above the 2nd paragraph there will be a total of 16 points of space between the two paragraphs.
q_29,If a paragraph has 9 points of space below it and the paragraph underneath has additional 10 points of space above it how much space is there between the two paragraphs?,Since there are 9 points of space below the 1st paragraph and there are 10 points of space above the 2nd paragraph there will be a total of 19 points of space between the two paragraphs.
q_65,If a paragraph has 9 points of space below it and the paragraph underneath has additional 16 points of space above it how much space is there between the two paragraphs?,Since there are 9 points of space below the 1st paragraph and there are 16 points of space above the 2nd paragraph there will be a total of 25 points of space between the two paragraphs.
q_101,If a paragraph has 9 points of space below it and the paragraph underneath has additional 18 points of space above it how much space is there between the two paragraphs?,Since there are 9 points of space below the 1st paragraph and there are 18 points of space above the 2nd paragraph there will be a total of 27 points of space between the two paragraphs.
q_146,If a paragraph has 9 points of space below it and the paragraph underneath has additional 19 points of space above it how much space is there between the two paragraphs?,Since there are 9 points of space below the 1st paragraph and there are 19 points of space above the 2nd paragraph there will be a total of 28 points of space between the two paragraphs.
q_123,If a paragraph has 9 points of space below it and the paragraph underneath has additional 7 points of space above it how much space is there between the two paragraphs?,Since there are 9 points of space below the 1st paragraph and there are 7 points of space above the 2nd paragraph there will be a total of 16 points of space between the two paragraphs.
q_9,If you click on any of the options shown in Figure X what object will change on the PowerPoint slide and how?,The style of the table on the PowerPoint slide will change to the one that you click among the 'Many options'.
q_78,If you click on any one of the squares in the Picture X in Figure X what will change in the PowerPoint presentation? Explain in general.,Clicking on one of these squares will add a SmartArt graphic to the presentation.
q_61,If you click on any one of the squares in the Picture X in Figure X what will change in the PowerPoint presentation? Explain in general.,Clicking on one of these squares will add a transition between the slides of the presentation.
q_18,If you click on any one of the squares in the Picture X in Figure X what will change in the PowerPoint presentation? Explain in general.,Clicking on one of these squares will change the theme of the presentation.
q_52,If you were to click on an option from the menu in the Figure X what kind of object would be added to the PowerPoint slide?,A chart of the option you specify will be added to the PowerPoint slide.
q_4,In Word where should you click to change the Margin size of the document to 0.5 inches all across?,Layout Tab Margins button Click the 'Narrow' option.
q_41,Mention two ways to change the zoom of a Word document to 100%.,Any 2 of: (a) View Tab Click the '100%' button. (b) Status Bar Click the - or + buttons until 100% is displayed. (c) Drag the zoom slider until 100% is displayed.
q_38,Name three commands/buttons on the Home tab of Word.,(For example:) Bold Increase Font Size and Paste
q_67,Name three commands/buttons on the Quick Access Toolbar.,(For example:) Save Undo and Redo
q_55,Name two commands/buttons on the Design tab of Word.,(For example:) Themes and Colors
q_60,Name two commands/buttons on the Status Bar.,(For example:) Spelling and Grammar checker button and the + zoom increase button
q_10,Name two tabs in PowerPoint that Word does NOT have. Hint: Look at PowerPoint's tabs on the screenshot given on the textbook page listed below.,(Example:) Transitions Animations
q_24,PowerPoint has several in-built slide types/layouts. What is the type of the slide shown in the Image X in Figure X? Hint: Look at the screenshots given on the textbook pages listed below.,This slide is of the type Comparison.
q_71,PowerPoint has several in-built slide types/layouts. What is the type of the slide shown in the Image X in Figure X? Hint: Look at the screenshots given on the textbook pages listed below.,This slide is of the type Title Only.
q_62,PowerPoint has several in-built slide types/layouts. What is the type of the slide shown in the Image X in Figure X? Hint: Look at the screenshots given on the textbook pages listed below.,This slide is of the type Title Slide.
q_56,PowerPoint has several in-built slide types/layouts. What is the type of the slide shown in the Image X in Figure X? Hint: Look at the screenshots given on the textbook pages listed below.,This slide is of the type Title and Content.
q_91,Suppose you are working on the SmartArt graphic in Word in Figure X 'SmartArt: Before'. Where should you click to change the graphic to the one in Figure X 'SmartArt: After'?,Select the SmartArt graphic Click on the shape with the word 'Three' Click the DELETE button on the keyboard.
q_40,Suppose you are working on the SmartArt graphic in Word in Figure X 'SmartArt: Before'. Where should you click to change the graphic to the one in Figure X 'SmartArt: After'?,Select the SmartArt graphic Click on the circle with the word 'go' Click the SmartArt Tools: Design tab Click on 'Add Shape' button Type 'round' inside the new shape.
q_23,The bulleted list in Figure X 'My List' was converted into the object displayed in Figure X 'My New List'. Where should you click for this object conversion to occur? (Hint: what kind of object is displayed in Figure X 'My New List'?),Select all the bulleted list's items Click the Home Tab Click the 'Convert to SmartArt' button Select the appropriate SmartArt graphic to which you want the list to be converted. The specific graphic in the 'My New List' Figure X is called 'Targeted List' but you did not have to mention that.
q_15,The following text appears in a Word document: Yesterday the President delivered a speech at the United Nations general assembly. When clicking on Ctrl and the words 'United Nations' a web-page will open on the computer's browser. However you don't want to keep this feature. How do you remove this clickability feature from the words 'United Nations'? Mention one way. [Note: removing the underline and the blue color will NOT remove the feature!],The clickability feature about which the question talks is called a 'hyperlink' (the question didn't use the word hyperlink so that you won't be easily able to find the answer online! :) ) To remove it right-click over the text 'United Nations' click 'Remove Hyperlink' to remove the hyperlink!
q_30,Using Word you are writing an MLA paper for your English class. The MLA format requires you to create a page header. Describe the steps of creating a blank header in a Word document. (Don't write about how you add your last name and page number.),Insert tab Header button Blank option
q_6,What are the Rulers in Word used for? Describe one use.,The Rulers can help you creating first-line indentation in a research paper.
q_45,What does the button displayed in the Figure X do?,It displays several pages rather than a single page at once (on one screen) inside the Word window.
q_20,What is change has been made to the Picture X in Figure X 'Dino: Before' so that it became the Picture X in Figure X 'Dino: After'?,The dinosaur Picture X was colored Gold or Yellow which is why it is not green anymore. The question didn't require it but here is the procedure of changing a Picture X 's color: Select the Picture X Click the Picture X Tools: Format Tab Click the Color button Click on the Gold or Yellow color.
q_25,What is the difference between this list: Apple Cherry Banana Strawberry and this list: Fruit - Apple - Cherry Veggies - Banana - Strawberry In your answer speak about the hierarchy of the lists not the content (the fruits and veggies) and not the way the bullet points look.,The first list is a regular first-level bulleted list while the second list is a multi-level bulleted list with 1st-level and 2nd-level items.
q_31,What is the purpose of the buttons displayed in Figure X?,The buttons set the margins of the Word document to a certain size.
