a_id,a_text,q_id,score
140-q_51,(a) This is the ribbon section of the document. (b) Here you will find the insert tab where you can change the font of the document.,q_51,incorrect
148-q_51,A. Ribbon B. The ribbon is at the top of the word window you can do many things with it for example tabs is for organizing the many tools and option Word has. Clicking each tab give you different and a whole new set of option.,q_51,incorrect
162-q_51,(a) Microsoft Search box (b) This powerful tool helps you quickly find what you're looking for from text to commands to help.,q_51,correct
218-q_51,a) This is the 'Tell me what to do' section or the Search section b) You can search up the feature or command you want to access in this section.,q_51,correct
27-q_51,(a) This is the Search Bar (also called Tell Me Box. ) (b) The Search Bar lets you search for button sand options in Word.,q_51,correct
42-q_51,,q_51,incorrect
49-q_51,a: Ribbon b: Dialog box- Clicking the small boxed-in arrow at the bottom right-hand corner of each group opens a dialog box with more options for each group,q_51,incorrect
6-q_51,I would select 'When I entered the store' and cut using (Cmnd+X) then paste it in order to create the second sentence.,q_51,incorrect
70-q_51,a) The ribbon where this search box can be located b) Tabs which are a way of organizing the many tools and options Word has that we need to use.,q_51,incorrect
79-q_51,A)Search Bar B) Helps you find characters words and phrases,q_51,correct
7-q_51,a) The Search Bar b) The Search Bar helps you to find out the icon and button in word.,q_51,correct
87-q_51,a. This is the Tell Me Box (Word's Search Box) b. The search box can help you find commands in the application.,q_51,correct
91-q_51,A)search box 'TELL ME WHAT YOU WANT TO DO' B)you can type font and look at the fonts you would like to use navigates word using word searching.,q_51,correct
108-q_63,,q_63,incorrect
116-q_63,a. status bar b. the purpose of the page count element is to show the total number og pages in the document and it shows which pahe is currently visible in the window.,q_63,correct
118-q_63,a) status bar b) word count button - displays how many words in the document,q_63,correct
134-q_63,A: Status Bar B: The read mode eliminates distractions when one reading. It also enables one to make small changes and comment in the document.,q_63,correct
137-q_63,(a) The name displayed in Figure X is status bar. (b) One purpose of the status bar is to show you the amount of words on your document.,q_63,correct
139-q_63,(a) The name of the part displayed in the image in Figure X is Status Bar. (b) We can use one tool that is inside the status bar to zoom in and zoom out our document.,q_63,correct
160-q_63,The Word application window consists of the following Document Title - Displays the name of the Word file. It will update to reflect the currently open document. Quick Access Toolbar - This toolbar contains shortcuts for Save Undo Redo and more that you can quickly access. Ribbon Tabs - These are the main tabs such as Home Insert Layout which contain the features and functionality of Word. Ribbon tab icons - On the right side of the ribbon there are icons for sharing changing case word count and more. View Button - The View button lets you switch between reading mode print layout and other views.,q_63,incorrect
164-q_63,The name of the part displayed in Figure X is the status bar. The purpose of the page count is to show you the total number of pages in the document and which page is currently visible in the window.,q_63,correct
167-q_63,6(a) Status bar (b) One element present in the status bar area is the page count; which shows the total number of pages in the document and what particular page is currently visible in the window.,q_63,correct
173-q_63,(A) This is the status bar. (B) A purpose of one element in this status bar is the 'page Count' this shows the total number of pages in the document and which page it is that the person is currently on.,q_63,correct
174-q_63,a) status bar b)WORD COUNT. displays the total number of words in the document.,q_63,correct
190-q_63,a. Figure X shows the Status bar b. The purpose of most left element is to count the pages of the Word document,q_63,correct
198-q_63,,q_63,incorrect
209-q_63,The + icon is to zoom in on the page,q_63,incorrect
221-q_63,(a) The name of the part displayed in the image in Figure X is the Status Bar. (b) One element in the status bar is the view option which allows you to see the document in different ways such as the Read Mode Page Layout and Web Layout.,q_63,correct
4-q_63,a) Part displayed in Figure X is the 'Print layout'. b) The purpose of print layout is to have a printer-friendly layout of the page. When this is selected the page will show the whole view of the page like it would when it's printed.,q_63,incorrect
54-q_63,a) This is a status bar. b) It shows you the word count on the bottom left.,q_63,correct
66-q_63,(a) this is called a status bar (b) One element on the status bar is the Zoom bar where we can adjust it either left or right to zoom in or out of the document,q_63,correct
76-q_63,(a) Status bar (b) The bar located to the right allows you to zoom in or zoom out by dragging it left or right,q_63,correct
82-q_63,(a) The status bar consists of current page total # of words spelling & grammar button language view options (Read Mode Page Layout and Web Layout) zoom-in bar and +/- buttons. (b) The spelling and grammar button serves the purpose to analyze your document and offer suggestions for spelling and grammar.,q_63,correct
84-q_63,The name of the part in Figure X is the status bar. The purpose of the page count element in the status bar is to show the number of total pages in the document and which page is currently visible.,q_63,correct
8-q_63,(a)The part in Figure X is the 'status bar' in the word document. (b) The 'page count'on the left hand side shows the page number of the current document and which page the user is currently viewing.,q_63,correct
101-q_28,,q_28,incorrect
102-q_28,a.) The name of the powerpoint object appearing in the Figure X is placeholder of the Title or Title Placeholder b.) In order to delete this object right click and select cut.,q_28,correct
104-q_28,If you already have a file open in PowerPoint you can create a new presentation by clicking File>New. You can also use the shortcut Ctrl+N,q_28,incorrect
108-q_28,,q_28,incorrect
109-q_28,a) This is the placeholder of the Title or Title placeholder shortly b)You can either right-click it and choose Cut from the short cut menu or click its boundary and then click on the DELETE key.,q_28,correct
10-q_28,(a) - This is a Title Placeholder. (b) - By right-clicking on the object and selecting the cut option you can delete the object from the slide.,q_28,correct
110-q_28,(a)-This is the placeholder of the Title or Title placeholder shortly. (b)- You can either right-click it and choose Cut from the shortcut menu or click its boundary and then click on the DELETE key.,q_28,correct
115-q_28,(A) This is the placeholder of the Title or 'Title Place Holder'. (B) To delete it you can right click it and follow up with Cut or Click on its boundary and then click on the Delete Key.,q_28,correct
116-q_28,a. the name of the object in Figure X is called the theme of the powerpoint b. to delete this object you can go and click the blank presntation option.,q_28,incorrect
117-q_28,The PowerPoint object appearing is the Title Only Slide. To remove this slide from the project look over at the thumbnail view select this thumbnail image of this slide only then hit the backspace or delete button and this slide will be erased from your project.,q_28,correct
11-q_28,a. It is the title placeholder b. You can right click on the title placeholder and then select 'Cut.',q_28,correct
122-q_28,Newer versions such as PowerPoint 2019 and 365 will take you to a menu called the backstage view to choose to open a new blank presentation or open a new presentation from a template.To open a blank presentation double-click the blank presentation option. You can also choose to select a theme for a new presentation but remember: themes can be changed at any time.f you already have a file open in PowerPoint you can create a new presentation by clicking File>New. You can also use the shortcut Ctrl+N (Cmnd+N for Mac). Once you have a new presentation open you save it the same way you would a Word or an Excel file. Refer to the Word lesson if you need a refresher,q_28,incorrect
123-q_28,A. This is a place holder for slides Title B. Anywhere on the box Boarder - Delete button on keyboard.,q_28,correct
125-q_28,The name is the Title placeholder. Right click the object and click Cut.,q_28,correct
126-q_28,a) This is called a text box b) To remove it click anywhere along the perimeter outline of the text box to select it then press the delete button on the keyboard.,q_28,correct
129-q_28,The object appearing in Figure X is a text box availble when you open a power point slide. You can right click any edge of the box and there will be an option to cut/delete/remove.,q_28,correct
12-q_28,a) This is the placeholder of the Title also know as the Title placeholder . b) You can either right-click it and choose Cut from the shortcut menu or click its boundary and then click on the delete key.,q_28,correct
133-q_28,(a) This is the placeholder of the Title or 'Title placeholder' shortly. (b) You can either right-click it and choose 'Cut' from the shortcut menu or click its boundary and then click on the DELETE key.,q_28,correct
134-q_28,A: Footer B: In the header and footer dialouge box Uncheck the boxes next to the footer to remove.,q_28,incorrect
136-q_28,a) The object appearing in Figure X is the placeholder of the Title. b) To remove this object you can click on its boundary and hit the DELETE key on your keyboard.,q_28,correct
137-q_28,(a) The name of the PowerPoint object appearing in Figure X is box. (b) To delete or remove this object you must you right click on the object and click 'cut' or 'delete',q_28,correct
139-q_28,(a) The name of the PowerPoint object appearing in the Figure X is a text box. (b) you can select the object and and click 'Backspace' button on your keyboar to delete this object.,q_28,correct
143-q_28,(A) This is called a Title place holder ot title (B) you can right click to Cut (shortcut menu) or click on it and the Delete it from the keyboard,q_28,correct
146-q_28,A- It is called the title box B- Right click then Cut,q_28,correct
14-q_28,the name of the object is the title box its where you type the title of the slide. you can click on the title box and click on the delete key.,q_28,correct
153-q_28,a) This is the placeholder of the title. b) Either right-click it and choose cut from the shortcut menu or click on the delete key on the keboard.,q_28,correct
155-q_28,(a) Title placeholder (b) Click its boundary and then click the Delete key.,q_28,correct
159-q_28,a). title only b). Move to right side(Slides pane)> Right click the slide> Click the delete slide option.,q_28,correct
161-q_28,The name of the PowerPoint object is the title slide presentation. In order to delete this object you can just click the object by right click and pressing the delete or backspace button.,q_28,correct
162-q_28,(a) This is the placeholder of the Title or Title placeholder shortly. (b) You can either right-click it and choose Cut from the shortcut menu or click its boundary and then click on the DELETE key.,q_28,correct
163-q_28,This object was the title name you can click it to enter the title name of the slide if you want to remove it you would have to click on the box and click backspace to delete it.,q_28,correct
165-q_28,this is a box for the title you click the dotten line around it and click delete on the keyboard.,q_28,correct
167-q_28,(a) The name of the PowerPoint object appearing in Figure X is a 'Title Box' or 'Title Placeholder.' (b) To delete or remove this object you can either right-click it and choose Cut from the shortcut menu or click its boundary and then click on the DELETE key.,q_28,correct
170-q_28,Title placeholder. You can delete this by right clicking it and using the drop menu that appears and selecting cut option.,q_28,correct
173-q_28,The name of the object appearing is an 'slideshow' or 'Presentation slide' to delete this object we would simply click on it and click or 'delete' button it will disappear right away.,q_28,incorrect
174-q_28,a) This is the placeholder of the Title or 'Title placeholder' shortly. (b) You can either right-click it and choose Cut from the shortcut menu or click its boundary and then click on the DELETE key.,q_28,correct
180-q_28,A. The powerpoint object in Figure X is the title placeholder where you will type in your title B. to remore it click on the boundry (the grey box around the words) and then simply press tye delete button on your keyboard,q_28,correct
185-q_28,(a) This is the placeholder of the Title or also known as 'Title placeholder' shortly. (b) You can click its boundary and then click on the DELETE key.,q_28,correct
18-q_28,a. The name of the PowerPoint object in Figure X is the Title/Title placeholder b. You can remove the object by doing the following: Click on the border of the text > right click > click cut in the drop down menu.,q_28,correct
190-q_28,a. The object is a title text box b. To delete/remove the textbox one can select the object by clicking on the outline and hitting delete on the keyboard.,q_28,correct
192-q_28,a)Title box or a textbox. b)You can click on the box outer layer and press delete.,q_28,correct
195-q_28,13a. This is the placeholder of the Title or Title placeholder shortly. 13b. You can either right-click it and choose Cut from the shortcut menu or click its boundary and then click on the DELETE key.,q_28,correct
196-q_28,(a) The name of the PowerPoint object is 'Title Placeholder' (b) To delete this object you need to click its boundary and then click on the delete key,q_28,correct
197-q_28,A) The object in Figure X is called a text box. B) To remove the textbox you can highlight the textbox then cut it.,q_28,correct
198-q_28,A) The name of the Powerpoint object appearing in the Figure X is called the placeholder of the Title or known as Title placeholder. B) You need to click to delete/remove this object by right clicking and than choose Cut from the shortcut menu or click its boundary and then click on the DELETE key.,q_28,correct
203-q_28,a)the name is Title only b) click the undo button to delete/remove it,q_28,incorrect
204-q_28,On Figure X This is the place holder of title. If you want to delete or remove it first select the box but then do double click and press delete.,q_28,correct
212-q_28,(a)The name of the PowerPoint object appearing in the Figure X is 'Placeholders'. (b) If you want to delete/ remove this object you need to select the placeholders then press the delete button.,q_28,correct
216-q_28,(a)This is the place holder of the Title or Title place holder shortly. (b)You can either right- click it and choose Cut from the short cut menu or click its boundary and then click on the DELETE key.,q_28,correct
217-q_28,Figure X shows a text box specifically a template text box meant for titles. You can get rid of the text box by clicking the box (make sure it is empty with no text) and simply clicking delete or backspace.,q_28,correct
220-q_28,A. This is a text box. B. Right clicking the box's border and selecting 'Cut' in the dialog box will delete the text box.,q_28,correct
221-q_28,(a) This is the placeholder of the Title. (b) You can click its boundary and then click on the DELETE key.,q_28,correct
24-q_28,(A)The object in Figure X is a title placeholder (B) You can hover and right click it then press cut.,q_28,correct
25-q_28,a) text box b) click on the box/object and hit delete on your keyboard.,q_28,correct
26-q_28,The name of the object in Figure X is a Title only slide. In order to delete the object I would go to the left side display of the slides right click the slide and click the Delete Slide option.,q_28,correct
27-q_28,(a) This is the place holder of the Title. (b) Two options are to right-click it and choose Cut from the shortcut menu or click its boundary and then click on the DELETE key.,q_28,correct
28-q_28,this is the placeholder of the Title or Title placeholder shortly. You can either right-click it and choose Cut from the shortcut menu or click its boundary and then click on the DELETE key.,q_28,correct
29-q_28,(a)It is a slide on a powerpoint presentation. (b)Click the slide once; press the DELETE or BACKSPACE keys on the keyboard OR Right-click the slide; click the Delete Slide option.,q_28,correct
31-q_28,A) Text box B) You can click onto the box and press the delete button.,q_28,correct
32-q_28,a) This is the title placeholder. b) You can either right-click it and choose cut from the shortcut menu or click its boundary and then click on the DELETE key on the keyboard,q_28,correct
33-q_28,a) This is a a 'Title placeholder'. b) In order to delete or rmove this object you'll need to right click and choose 'Cut' from the short menu or click on the 'DELETE' key from its boundary.,q_28,correct
34-q_28,The Powerpoint object in Figure X is a title box. You can right click it and cut it or press on it and press cut on the home tab.,q_28,correct
35-q_28,(a) it is a text box for a title specifically so the font will be larger by default (b) to delete it you want to click on the box then right click on the border or the dotted line and then there will be an option to cut or delete.,q_28,correct
39-q_28,,q_28,incorrect
43-q_28,a. That object is a title text box. b. To delete a text box you would need to click on the border and press backspace/delete. Another way would be to select it by clicking the border then right click and cut (or control + x).,q_28,correct
44-q_28,a) Title Box b) Click on the border of the box then press 'Delete' on the keyboard.,q_28,correct
45-q_28,A) title placeholder B) right click and then click cut,q_28,correct
47-q_28,A)This is a Title Text Box in PowerPoint. B)To delete this you could simply select the text box with your mouse and either click the delete key or right click and press on deletes,q_28,correct
48-q_28,(a) The object appearing in Figure X is called a slide. (b) To left of the slides where the thumbnail is present right click on the slide that you want to delete scroll down and click the Delete Slide option,q_28,correct
49-q_28,a: This is the placeholder of the Title or Title placeholder shortly b: You can either right-click it and choose Cut from the shortcut menu or click its boundary and then click on the DELETE key,q_28,correct
50-q_28,Text box First click on the text box and then right click on it. Click on delete to remove it.,q_28,correct
51-q_28,This is a title text box. You can click on it and press the delete button to remove it.,q_28,correct
58-q_28,(A) This is the placeholder of the Title (B) To delete you can right-click it and choose Cut from the shortcut menu,q_28,correct
59-q_28,The name of this object is called a Title Placeholder. You can delete this placeholder by right clicking it and pressing Cut,q_28,correct
5-q_28,,q_28,incorrect
60-q_28,a. This is called the Title Placeholder. b. To delete it you can simply right click and choose cut.,q_28,correct
61-q_28,(a) Its called a textbox (B),q_28,incorrect
62-q_28,Because inthe first slife we talk about the topic and from the first slide people can kniw what is the topic for the powerpoints.,q_28,incorrect
64-q_28,a) Text box b) Click on its borders and click the delete key,q_28,correct
65-q_28,That is the title box where you could add your heading title or whatever you please. You could remove this entirely by selecting a new slide with the option 'Blank'.,q_28,correct
68-q_28,a. Object/Box. b. Select the object right click on the mouse delete slide.,q_28,correct
69-q_28,,q_28,incorrect
70-q_28,a) Text Box b) Click on the border of the textbox then press DELETE,q_28,correct
71-q_28,This is a text box. Click on one of the white dots surrounding the text box and hit backspace or delete to delete the text box.,q_28,correct
74-q_28,a) Title placeholder b) Click its boundary and then click on the delete key.,q_28,correct
75-q_28,A- The powerpoint object that is appearing is the slide. B- To remove the slide you press backspace on the left hand column on the screen. You must click on the slide and press backspace or you may left click and delete slide.,q_28,correct
76-q_28,(a) Title placeholder (b) Click on the corners or edges of the object then right click and select 'Cut',q_28,correct
82-q_28,Title click on the square surrounding it and click delete on your keyboard.,q_28,correct
86-q_28,a. This is title placeholder b. You can do it by right-click it and choose Cut from the shortcut menu. Also you could do it by click its boundary and then click on the DELETE key.,q_28,correct
8-q_28,a) That is the 'title only' slide b) click anywhere inside the title only slide and press 'delete' key on keyboard to delete it.,q_28,correct
92-q_28,(a) This is the 'Title placeholder.' (b) You can click its boundary and then click on the DELETE key.,q_28,correct
94-q_28,a) Title only b) move the cursor to the slide in the slide bar-> right-click -> select 'delete slide',q_28,correct
98-q_28,,q_28,incorrect
133-q_85,,q_85,incorrect
19-q_85,A. The object displayed is a video. B. When you click on the triangle the video will begin to play.,q_85,correct
6-q_85,These showcase list levels by which you can go farther and increase using the tab key. In the Home tab you can click on list level option and choose one of the different multilevel list styles available in the menu.,q_85,incorrect
84-q_85,The object displayed in Figure X is a video added to the powerpoint slide. When you click the triangle button at the bottom left the video begins to play.,q_85,correct
102-q_85,a.) The object displayed in Figure X is a video to be played in Powerpoint. b.) If you click the triangle button at the bottom-left of the object the video will play.,q_85,correct
106-q_85,The object displayed is a video added to the slide on powerpoint. Clicking on the triangle button will make the video start playing.,q_85,correct
10-q_85,(a) - This is a video added to a PowerPoint slide. (b) - When the play button is clicked the video will start.,q_85,correct
119-q_85,a) This is a video added to the PowerPoint slide. b) The video will be playing.,q_85,correct
11-q_85,a. The object displayed is a video player that appears on a PowerPoint slide. b. The video will play when the triangle button is clicked on.,q_85,correct
121-q_85,A. The object displayed is an inserted video from your computer. B. If you click on the triangle button at the bottom left of the object the video will begin to play.,q_85,correct
123-q_85,A. Object displayed in figuare 10 is A Video. B. If you click the triangle button the video will start playing.,q_85,correct
128-q_85,a) it is a video that has been added to the powerpoint in a particular slide. b) when we click the triangle the video that has been added will start to play.,q_85,correct
129-q_85,The object is an inserted video.When you click on the triangle button the video will start to play.,q_85,correct
12-q_85,a) This object is a video that was added to the PowerPoint slide. b) When you click on the triangle button the video starts playing.,q_85,correct
131-q_85,a) It is a video b) The video plays.,q_85,correct
135-q_85,a) This is a video that was added to the PowerPoint slide. b) The video will play.,q_85,correct
136-q_85,(a) This is a video added to the PowerPoint slide. (b) When we click on the triangle button the video starts playing.,q_85,correct
138-q_85,(a) This is a video added to a powerpoint slide. (b). When you click the triangle button the video starts to play.,q_85,correct
139-q_85,(a) The object displayed in Figure X is a video you insert. (b) The video will play when you click on the triangle button at the bottomleft of the object.,q_85,correct
13-q_85,a. The object displayed in Figure X is a video player. b. That plays the video and is also used to pause it after playing.,q_85,correct
141-q_85,,q_85,incorrect
142-q_85,it is an inserted video to a slide When you click on the triangle button at the bottom left of an inserted video in PowerPoint it typically plays or pauses the video. Clicking the triangle button serves as a toggle to start or pause the video's playback.,q_85,correct
145-q_85,A. a Video. b. the video plays,q_85,correct
148-q_85,A. It s a video that has been inserted into a PowerPoint. B. I believe that would be a resizing tool it will change the size of the video.,q_85,incorrect
14-q_85,the object displayed is a video. when you click on the triangle button on the left the video plays.,q_85,correct
151-q_85,a. This black object is video which you appeared into you slide. b. Triangle button at the bottom- left of the object is - a play button.,q_85,correct
153-q_85,a) That is a video (on a powerpoint slide) b) When you click on the triangle button the video will start playing.,q_85,correct
154-q_85,A. Can play videos anything in the videos B. To select objects that are hidden stacked or behind text click Select Object then click and drag on the object.,q_85,incorrect
157-q_85,(a) A video player. (b) The video plays.,q_85,correct
15-q_85,A) The object displayed is a video that has been inserted. B) When you press the triangle button the video begins to play.,q_85,correct
160-q_85,,q_85,incorrect
162-q_85,(a) This is a video added to the PowerPoint slide. (b) When we click on the triangle button the video starts playing.,q_85,correct
164-q_85,The object displayed in Figure X is a video. When you click on the triangular button the video starts playing.,q_85,correct
165-q_85,it is a video that she attched ater clicking insert video. the video will start playing if you click the triangle on the bottom left.,q_85,correct
166-q_85,a) video b) plays the video,q_85,correct
168-q_85,1) The object displayed in Figure X is a video. 2) When you click on the triangle the video will play for its entire duration.,q_85,correct
16-q_85,(a) This is a video added to the PowerPoint slide (b) When we click on the triangle button the following video will begin playing,q_85,correct
171-q_85,a) This is a video. b) When you click the triangle it will play the video on slides.,q_85,correct
172-q_85,the object displayed in Figure X is a video box. when you click on the triangle button at the bottom- left the video will start.,q_85,correct
173-q_85,The object displayed here is a video that was downloaded form the computer itself. what would happen to the object if we click on the triangle to the bottom left is that it will play start and we would be able to see the video.,q_85,correct
174-q_85,a) This is a video added to the PowerPoint slide. (b) When we click on the triangle button the video starts playing,q_85,correct
176-q_85,a) The object displayed is a video inserted into the slide. b) The video will play when you click on the triangle at the bottom left.,q_85,correct
178-q_85,a) A video on a PowerPoint slide b) The triangle button will play the video,q_85,correct
179-q_85,The object displayed is a video that can be inerted into a powerpoint slide. The video will play once you hit the playarrow at the bottom left of the inserted video.,q_85,correct
17-q_85,A: The object displayed in Figure X was video. B:If you click on the triangle button at the bottom left of the object it will play the video.,q_85,correct
181-q_85,a. the object displayed is a video b. The video will begin playing,q_85,correct
182-q_85,(a) The object displayed is a video. (b) The video starts playing.,q_85,correct
184-q_85,the object displayed in Figure Xfive is the video feature of powerpoint and if you press on the triangle button at the bottom a video will begin to play.,q_85,correct
186-q_85,a it is a video added to the powerpoint slide. b the video will begin to play,q_85,correct
18-q_85,a. The object displayed in Figure X is a video player on a PowerPoint slide. b. The video will play when you click on the triangle button.,q_85,correct
193-q_85,a) The object shown in Figure X is a video (b) The object plays this video when you click the triangle button in the lower left corner of the object.,q_85,correct
196-q_85,(a) The object is a video added to a PowerPoint slide (b) When you click on the triangle button the video starts playing,q_85,correct
198-q_85,,q_85,incorrect
199-q_85,,q_85,incorrect
1-q_85,A) Video Player B) When you click on the triangle button at the bottom-left of the object is a video player to start resume play or pause.,q_85,correct
202-q_85,The object is a video that was inserted into the document. Clicking the triangle on the left would play the video and clicking on it while the video was already playing would pause the video.,q_85,correct
206-q_85,a)The video displayed in Figure14) b)The video will start playing when you click on the triangle button in the bottom left corner of the object.,q_85,correct
207-q_85,A) A video B) The video will start to play,q_85,correct
20-q_85,A.) The object is an embedded video B.) The video starts to play for the duration it was embedded with.,q_85,correct
211-q_85,A. The object displayed is a video that was added to the power point slide. B. When you click the triangle it will begin to play the video.,q_85,correct
214-q_85,(a) A video is displayed in Figure X (b) If you click on the triangle button at the bottom left the video will begin to play,q_85,correct
215-q_85,A) A video added to the slide. B) The video begins playing.,q_85,correct
217-q_85,Figure X shows an inserted video within the Powerpoint slide. When you click the triangle at the bottom left it plays the video until the video is over.,q_85,correct
218-q_85,a) This is the video object displayed b) Clicking the triangle at the bottom right of the object will play or pause the video.,q_85,correct
219-q_85,a. The object displayed is a video added to the PowerPoint slide. b. When you click on the triangle the video starts playing.,q_85,correct
21-q_85,A) The object displayed in Figure X is a video that was inserted from a link. B) After clicking on the triangle button at the bottom left corner of the object in Figure X the video inserted will start playing.,q_85,correct
220-q_85,A. The object is a video that was inserted into the slide. B. Clicking the triangle button will cause the video to play.,q_85,correct
23-q_85,,q_85,incorrect
27-q_85,(a) This is a video added to the Power Point slide. (b) When we click on the triangle button at the bottom-left the video starts playing.,q_85,correct
29-q_85,(A) It is a video display in a PowerPoint slide. (b) when you click on the triangle button it ll start playing the video.,q_85,correct
